## Sun Jul 11 04:36:26 2021
## emapper-2.1.4-2
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --data_dir /dev/shm/ -o out --output_dir /data/shared/emapper_jobs/user_data/MM_jkofz70s --temp_dir /data/shared/emapper_jobs/user_data/MM_jkofz70s --override -m diamond -i /data/shared/emapper_jobs/user_data/MM_jkofz70s/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
USA300HOU_RS00005	525378.HMPREF0793_1044	1.2e-220	772.3	COG0593@1|root,COG0593@2|Bacteria,1TPV7@1239|Firmicutes,4H9MW@91061|Bacilli,4GXGA@90964|Staphylococcaceae	91061|Bacilli	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0042802,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
USA300HOU_RS00060	1280.SAXN108_0014	4.4e-188	663.7	COG2021@1|root,COG2021@2|Bacteria,1TQSV@1239|Firmicutes,4HBNC@91061|Bacilli,4GXU2@90964|Staphylococcaceae	91061|Bacilli	E	Belongs to the AB hydrolase superfamily. MetX family	metXA	GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0004414,GO:0006082,GO:0006520,GO:0006555,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008374,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009086,GO:0009092,GO:0009987,GO:0016053,GO:0016407,GO:0016413,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.3.1.31	ko:K00641	ko00270,ko01100,ko01130,map00270,map01100,map01130	-	R01776	RC00004,RC00041	ko00000,ko00001,ko01000	-	-	-	Abhydrolase_1
USA300HOU_RS00065	1280.SAXN108_0015	1.4e-151	542.3	COG4241@1|root,COG4241@2|Bacteria,1UZYE@1239|Firmicutes,4HAFH@91061|Bacilli,4GWYY@90964|Staphylococcaceae	91061|Bacilli	S	Predicted membrane protein (DUF2232)	yybS	-	-	-	-	-	-	-	-	-	-	-	DUF2232
USA300HOU_RS00070	1280.SAXN108_0016	0.0	1238.4	COG3887@1|root,COG3887@2|Bacteria,1TPGP@1239|Firmicutes,4HBVH@91061|Bacilli,4GXGZ@90964|Staphylococcaceae	91061|Bacilli	T	signaling protein consisting of a modified GGDEF domain and a DHH domain	yybT	-	-	-	-	-	-	-	-	-	-	-	DHH,DHHA1
USA300HOU_RS00075	1280.SAXN108_0017	2.8e-73	281.2	COG0359@1|root,COG0359@2|Bacteria,1V6QG@1239|Firmicutes,4HIKJ@91061|Bacilli,4GYB1@90964|Staphylococcaceae	91061|Bacilli	J	Binds to the 23S rRNA	rplI	GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02939	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L9_C,Ribosomal_L9_N
USA300HOU_RS00080	1280.SAXN108_0018	1.3e-257	895.2	COG0305@1|root,COG0305@2|Bacteria,1TPCT@1239|Firmicutes,4H9Y8@91061|Bacilli,4GX75@90964|Staphylococcaceae	91061|Bacilli	L	Participates in initiation and elongation during chromosome replication	dnaB	GO:0003674,GO:0003678,GO:0003824,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006268,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0032392,GO:0032508,GO:0034641,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0051276,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360,GO:1901576	3.6.4.12	ko:K02314	ko03030,ko04112,map03030,map04112	-	-	-	ko00000,ko00001,ko01000,ko03032	-	-	-	DnaB,DnaB_C
USA300HOU_RS00085	1280.SAXN108_0019	1e-248	865.5	COG0104@1|root,COG0104@2|Bacteria,1TQ4C@1239|Firmicutes,4H9YT@91061|Bacilli,4GXRT@90964|Staphylococcaceae	91061|Bacilli	F	Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP	purA	GO:0003674,GO:0003824,GO:0004019,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006163,GO:0006164,GO:0006167,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016874,GO:0016879,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034641,GO:0034654,GO:0044208,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046033,GO:0046040,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	6.3.4.4	ko:K01939	ko00230,ko00250,ko01100,map00230,map00250,map01100	M00049	R01135	RC00458,RC00459	ko00000,ko00001,ko00002,ko01000	-	-	-	Adenylsucc_synt
USA300HOU_RS00100	1280.SAXN108_0020	1.9e-132	478.4	COG0745@1|root,COG0745@2|Bacteria,1TPQG@1239|Firmicutes,4HA8Q@91061|Bacilli,4GX9D@90964|Staphylococcaceae	91061|Bacilli	K	Transcriptional regulatory protein WalR	yycF	GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141	-	ko:K07668	ko02020,map02020	M00459	-	-	ko00000,ko00001,ko00002,ko02022	-	-	-	Response_reg,Trans_reg_C
USA300HOU_RS00105	1280.SAXN108_0021	0.0	1166.8	COG5002@1|root,COG5002@2|Bacteria,1TQ1H@1239|Firmicutes,4HA52@91061|Bacilli,4GX66@90964|Staphylococcaceae	91061|Bacilli	T	WalK functions as a sensor protein kinase which is autophosphorylated at a histidine residue and transfers its phosphate group to WalR	vicK	-	2.7.13.3	ko:K07652	ko02020,map02020	M00459	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HAMP,HATPase_c,HisKA,PAS,PAS_9
USA300HOU_RS00110	1280.SAXN108_0022	4.1e-253	880.2	COG4863@1|root,COG4863@2|Bacteria,1V0CX@1239|Firmicutes,4HFFE@91061|Bacilli,4GXCP@90964|Staphylococcaceae	91061|Bacilli	S	YycH protein	yycH	-	-	-	-	-	-	-	-	-	-	-	YycH
USA300HOU_RS00115	1280.SAXN108_0023	3.2e-136	491.1	COG4853@1|root,COG4853@2|Bacteria,1V1FW@1239|Firmicutes,4HFWZ@91061|Bacilli,4GYGA@90964|Staphylococcaceae	91061|Bacilli	S	protein conserved in bacteria	yycI	-	-	-	-	-	-	-	-	-	-	-	YycI
USA300HOU_RS00120	1280.SAXN108_0024	5.3e-147	526.9	COG1235@1|root,COG1235@2|Bacteria,1TQ8E@1239|Firmicutes,4HAKD@91061|Bacilli,4GWY9@90964|Staphylococcaceae	91061|Bacilli	S	Metal-dependent hydrolases of the beta-lactamase superfamily I	vicX	-	3.1.26.11	ko:K00784	ko03013,map03013	-	-	-	ko00000,ko00001,ko01000,ko03016	-	-	-	Lactamase_B,Lactamase_B_2
USA300HOU_RS00125	1280.SAXN108_0025	0.0	1365.9	COG0737@1|root,COG0737@2|Bacteria,1TPV2@1239|Firmicutes,4H9VJ@91061|Bacilli,4GY07@90964|Staphylococcaceae	91061|Bacilli	F	COG0737 5'-nucleotidase 2',3'-cyclic phosphodiesterase and related esterases	-	-	3.1.3.5,3.1.3.6,3.1.4.16	ko:K01081,ko:K01119	ko00230,ko00240,ko00760,ko01100,ko01110,map00230,map00240,map00760,map01100,map01110	-	R00183,R00511,R00963,R01126,R01227,R01562,R01569,R01664,R01877,R01968,R02088,R02102,R02148,R02323,R02370,R02719,R03346,R03537,R03538,R03929,R05135	RC00017,RC00078,RC00296	ko00000,ko00001,ko01000	-	-	-	5_nucleotid_C,Metallophos
USA300HOU_RS00130	1280.SAXN108_0026	1.2e-80	305.8	COG1576@1|root,COG1576@2|Bacteria,1V3JM@1239|Firmicutes,4HFP8@91061|Bacilli,4GX74@90964|Staphylococcaceae	91061|Bacilli	J	Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA	rlmH	-	2.1.1.177	ko:K00783	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	SPOUT_MTase
USA300HOU_RS00135	176279.SERP2528	1.5e-225	788.5	COG1401@1|root,COG1401@2|Bacteria	2|Bacteria	V	restriction endodeoxyribonuclease activity	-	-	-	-	-	-	-	-	-	-	-	-	DUF3578,DUF3883
USA300HOU_RS00140	176279.SERP2526	1e-127	462.6	COG3316@1|root,COG3316@2|Bacteria,1TTKR@1239|Firmicutes,4HCB4@91061|Bacilli,4GX8U@90964|Staphylococcaceae	91061|Bacilli	L	COG3316 Transposase and inactivated derivatives	tnp1216	-	-	ko:K07498	-	-	-	-	ko00000	-	-	-	DDE_Tnp_IS240
USA300HOU_RS14915	1167632.AJTR01000116_gene1241	3.8e-58	230.7	COG3425@1|root,COG3425@2|Bacteria,1TR4K@1239|Firmicutes,4HA67@91061|Bacilli,4GY29@90964|Staphylococcaceae	91061|Bacilli	I	Hydroxymethylglutaryl-CoA synthase	mvaS	-	2.3.3.10	ko:K01641	ko00072,ko00280,ko00650,ko00900,ko01100,ko01110,ko01130,map00072,map00280,map00650,map00900,map01100,map01110,map01130	M00088,M00095	R01978	RC00004,RC00503	ko00000,ko00001,ko00002,ko01000	-	-	-	HMG_CoA_synt_C,HMG_CoA_synt_N
USA300HOU_RS00150	1232666.JANE01000001_gene168	2.7e-137	494.6	COG0584@1|root,COG0584@2|Bacteria,1VDG9@1239|Firmicutes,4HMWF@91061|Bacilli,4GYFB@90964|Staphylococcaceae	91061|Bacilli	C	glycerophosphoryl diester phosphodiesterase	-	-	3.1.4.46	ko:K01126	ko00564,map00564	-	R01030,R01470	RC00017,RC00425	ko00000,ko00001,ko01000	-	-	-	GDPD
USA300HOU_RS00155	1232666.JANE01000001_gene169	9.3e-74	282.7	COG2030@1|root,COG2030@2|Bacteria,1VFE5@1239|Firmicutes,4HP16@91061|Bacilli,4GY10@90964|Staphylococcaceae	91061|Bacilli	I	N-terminal half of MaoC dehydratase	-	-	-	-	-	-	-	-	-	-	-	-	MaoC_dehydratas
USA300HOU_RS00160	176279.SERP2521	0.0	1326.6	COG0768@1|root,COG0768@2|Bacteria,1TQHY@1239|Firmicutes,4H9MT@91061|Bacilli,4GYFQ@90964|Staphylococcaceae	91061|Bacilli	M	NTF2-like N-terminal transpeptidase domain	pbpC	-	3.4.16.4	ko:K02545,ko:K21467	ko00550,ko01100,ko01501,map00550,map01100,map01501	M00625	-	-	ko00000,ko00001,ko00002,ko01000,ko01011,ko01504	-	-	-	MecA_N,PBP_dimer,Transpeptidase
USA300HOU_RS00165	176279.SERP2520	2.4e-173	614.8	COG2602@1|root,COG4219@1|root,COG2602@2|Bacteria,COG4219@2|Bacteria,1TP3Z@1239|Firmicutes,4HB9X@91061|Bacilli,4GX27@90964|Staphylococcaceae	91061|Bacilli	KTV	Regulatory protein BlaR1	mecR1	-	-	ko:K02172,ko:K02547	ko01501,map01501	M00625,M00627	-	-	ko00000,ko00001,ko00002,ko01002,ko01504	-	-	-	Peptidase_M56,Transpeptidase
USA300HOU_RS00170	1139219.I569_00974	8.3e-25	119.4	COG1595@1|root,COG1595@2|Bacteria	2|Bacteria	K	DNA-templated transcription, initiation	-	-	-	ko:K03088	-	-	-	-	ko00000,ko03021	-	-	-	DUF4157,SatD,Sigma70_r2
USA300HOU_RS00175	279808.SH2017	1.2e-307	1061.6	COG3666@1|root,COG3666@2|Bacteria,1TQQ9@1239|Firmicutes,4H9KK@91061|Bacilli,4GY76@90964|Staphylococcaceae	91061|Bacilli	L	COG3666 Transposase and inactivated derivatives	-	-	-	ko:K07487	-	-	-	-	ko00000	-	-	-	DDE_Tnp_1,DDE_Tnp_1_6,DUF772
USA300HOU_RS00180	176280.SE_0030	1.6e-85	322.0	COG4333@1|root,COG4333@2|Bacteria,1VI5E@1239|Firmicutes,4HQ54@91061|Bacilli,4GXWT@90964|Staphylococcaceae	91061|Bacilli	V	Protein of unknown function (DUF1643)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1643
USA300HOU_RS00185	176279.SERP2503	1e-45	189.1	COG0827@1|root,COG0827@2|Bacteria,1VKXJ@1239|Firmicutes,4I0AM@91061|Bacilli,4GZHD@90964|Staphylococcaceae	91061|Bacilli	L	Staphylococcal protein of unknown function (DUF960)	-	-	-	-	-	-	-	-	-	-	-	-	DUF960
USA300HOU_RS00190	176280.SE_0033	1.4e-59	235.3	29I9Y@1|root,30571@2|Bacteria,1TXTQ@1239|Firmicutes,4I6W0@91061|Bacilli,4GZ77@90964|Staphylococcaceae	91061|Bacilli	S	Pfam:DUF950	-	-	-	-	-	-	-	-	-	-	-	-	SAUGI
USA300HOU_RS00195	176279.SERP2499	1.4e-306	1058.1	COG1961@1|root,COG1961@2|Bacteria,1TPUG@1239|Firmicutes,4HB3H@91061|Bacilli,4GYIH@90964|Staphylococcaceae	91061|Bacilli	L	Recombinase	-	-	-	ko:K06400	-	-	-	-	ko00000	-	-	-	Ogr_Delta,Recombinase,Resolvase,Zn_ribbon_recom
USA300HOU_RS00200	176280.SE_0037	2.7e-252	877.5	COG1961@1|root,COG1961@2|Bacteria,1TPUG@1239|Firmicutes,4HXMI@91061|Bacilli,4GY47@90964|Staphylococcaceae	91061|Bacilli	L	Recombinase zinc beta ribbon domain	-	-	-	-	-	-	-	-	-	-	-	-	Recombinase,Resolvase,Zn_ribbon_recom
USA300HOU_RS00205	435838.HMPREF0786_01635	0.0	1092.8	COG5519@1|root,COG5519@2|Bacteria,1TRMV@1239|Firmicutes,4HHHR@91061|Bacilli,4GXH0@90964|Staphylococcaceae	91061|Bacilli	L	Domain of unknown function (DUF927)	-	-	-	-	-	-	-	-	-	-	-	-	DUF927
USA300HOU_RS00210	904314.SEVCU012_2205	2.3e-15	88.2	29IBR@1|root,3058X@2|Bacteria,1TXWH@1239|Firmicutes,4I6Z4@91061|Bacilli,4GZJQ@90964|Staphylococcaceae	91061|Bacilli	S	Domain of unknown function (DUF1413)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1413
USA300HOU_RS00220	1121865.OMW_01992	5.5e-129	468.0	COG2865@1|root,COG2865@2|Bacteria,1U8FY@1239|Firmicutes,4HEX0@91061|Bacilli,4B4UY@81852|Enterococcaceae	91061|Bacilli	K	Putative ATP-dependent DNA helicase recG C-terminal	-	-	3.6.4.12	ko:K03655	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	AlbA_2,HATPase_c_4,Penicillinase_R
USA300HOU_RS00230	904314.SEVCU012_2207	4.3e-184	650.6	COG0491@1|root,COG0607@1|root,COG0491@2|Bacteria,COG0607@2|Bacteria,1TSQZ@1239|Firmicutes,4HCYZ@91061|Bacilli,4GXSH@90964|Staphylococcaceae	91061|Bacilli	P	Rhodanese Homology Domain	baeB	-	3.1.2.6	ko:K01069	ko00620,map00620	-	R01736	RC00004,RC00137	ko00000,ko00001,ko01000	-	-	-	Lactamase_B,Rhodanese
USA300HOU_RS00235	445973.CLOBAR_00694	6.7e-28	130.2	COG3183@1|root,COG3183@2|Bacteria,1V62S@1239|Firmicutes,24QF4@186801|Clostridia	186801|Clostridia	L	HNH endonuclease	-	-	-	ko:K07451,ko:K07453	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	HNH
USA300HOU_RS00240	1232666.JANE01000011_gene2044	7.9e-106	389.8	2DT16@1|root,33I88@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
USA300HOU_RS00245	82996.sch_02625	1.1e-18	100.9	COG3440@1|root,COG3440@2|Bacteria,1N4JP@1224|Proteobacteria,1T1C9@1236|Gammaproteobacteria,402HU@613|Serratia	1236|Gammaproteobacteria	V	HNH endonuclease	-	-	-	ko:K07454	-	-	-	-	ko00000	-	-	-	HNH_2
