,gene_weight,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator,iModulon,Locustag
0,0.4689325007065211,lrgA,NC_010079.1,USA300HOU_0273,308606,309049,+,antiholin-like murein hydrolase modulator LrgA,Function unknown,A0A0E0VLJ4,Op173,,LrgAB,USA300HOU_RS01360
1,0.3994424510253309,lrgB,NC_010079.1,USA300HOU_0274,309042,309743,+,antiholin-like protein LrgB,Cell wall/membrane/envelope biogenesis,A0A0E0VKQ9,Op173,,LrgAB,USA300HOU_RS01365
0,-0.0939495577695592,sasD,NC_010079.1,USA300HOU_0146,155063,155788,+,cell-wall-anchored protein SasD,No COG annotation,A0A0D6GL01,Op101,WalR,Autolysin,USA300HOU_RS00705
1,0.1130580965921592,lytM,NC_010079.1,USA300HOU_0289,322238,323188,+,glycine-glycine endopeptidase LytM,Cell wall/membrane/envelope biogenesis,A0A0H2XF37,Op185,WalR,Autolysin,USA300HOU_RS01445
2,0.18907503639686,aaa,NC_010079.1,USA300HOU_0465,491574,492578,+,autolysin/adhesin Aaa,Cell wall/membrane/envelope biogenesis,A0A0E1VVH0,Op301,WalR,Autolysin,USA300HOU_RS02340
3,0.1597847440996707,USA300HOU_RS03595,NC_010079.1,USA300HOU_0686,740361,741158,-,LysM peptidoglycan-binding domain-containing protein,Cell wall/membrane/envelope biogenesis,A0A0E0VNB3,Op451,WalR,Autolysin,USA300HOU_RS03595
4,0.129001716307223,USA300HOU_RS03760,NC_010079.1,USA300HOU_0719,769706,770158,+,hypothetical protein,No COG annotation,A0A0D1IUM4,Op476,WalR,Autolysin,USA300HOU_RS03760
5,0.1259201352243095,USA300HOU_RS04760,NC_010079.1,USA300HOU_0918,954849,955778,-,glycerophosphodiester phosphodiesterase,Energy production and conversion,A0A0E0VP88,Op605,WalR,Autolysin,USA300HOU_RS04760
6,0.1403960153222951,USA300HOU_RS05240,NC_010079.1,USA300HOU_0997,1058166,1061936,-,bifunctional autolysin,Cell wall/membrane/envelope biogenesis,A0A0H2XIJ3,Op667,WalR,Autolysin,USA300HOU_RS05240
7,0.2045347234390012,sceD,NC_010079.1,,2216094,2216789,-,lytic transglycosylase SceD,Cell wall/membrane/envelope biogenesis,A0A0E8J2S9,Op1350,,Autolysin,USA300HOU_RS11320
8,0.2269764630247741,USA300HOU_RS12440,NC_010079.1,USA300HOU_2280,2415349,2416152,+,CHAP domain-containing protein,Function unknown,A0A0D6WBZ7,Op1471,"WalR,GraS",Autolysin,USA300HOU_RS12440
9,0.3068471898075797,USA300HOU_RS12465,NC_010079.1,USA300HOU_2285,2420069,2420569,+,CHAP domain-containing protein,Function unknown,A0A0E1VNV7,Op1476,WalR,Autolysin,USA300HOU_RS12465
10,0.1119259383778747,sdpC,NC_010079.1,USA300HOU_2315,2454483,2455742,+,CPBP family intramembrane metalloprotease SdpC,Function unknown,A0A0E1VXW4,Op1505,WalR,Autolysin,USA300HOU_RS12635
11,0.245018202029724,USA300HOU_RS13795,NC_010079.1,USA300HOU_2536,2679517,2679948,+,CHAP domain-containing protein,Function unknown,A0A0E1VPV4,Op1667,WalR,Autolysin,USA300HOU_RS13795
12,0.1290610176662102,USA300HOU_RS13925,NC_010079.1,USA300HOU_2561,2707987,2708754,-,CHAP domain-containing protein,Function unknown,A0A0H2XHF6,Op1686,WalR,Autolysin,USA300HOU_RS13925
13,0.1569409436813014,USA300HOU_RS13935,NC_010079.1,USA300HOU_2563,2711437,2711925,-,GNAT family N-acetyltransferase,Transcription,A0A0H2WZT8,Op1688,,Autolysin,USA300HOU_RS13935
14,0.1855511171984118,isaA,NC_010079.1,USA300HOU_2564,2712201,2712902,-,lytic transglycosylase IsaA,Cell wall/membrane/envelope biogenesis,A6QK59,Op1689,,Autolysin,USA300HOU_RS13940
0,0.3181497258205235,betA,NC_010079.1,USA300HOU_2605,2749443,2751152,-,choline dehydrogenase,Amino acid transport and metabolism,A0A0E1XL77,Op1722,,BetR,USA300HOU_RS14155
1,0.3469788770467279,betB,NC_010079.1,USA300HOU_2606,2751413,2752903,-,betaine-aldehyde dehydrogenase,Energy production and conversion,A0A0H2X0S3,Op1723,,BetR,USA300HOU_RS14160
2,0.188980685863571,USA300HOU_RS14180,NC_010079.1,USA300HOU_2610,2754857,2756479,-,BCCT family transporter,Cell wall/membrane/envelope biogenesis,A0A0E0VUE2,Op1727,ArgR,BetR,USA300HOU_RS14180
0,0.0680529614235324,USA300HOU_RS04450,NC_010079.1,USA300HOU_0856,900000,900272,+,winged helix-turn-helix domain-containing protein,No COG annotation,A0A0H2XDW8,Op566,Genomic Island 3,Phi-Sa3-1,USA300HOU_RS04450
1,0.0672120371304948,USA300HOU_RS04465,NC_010079.1,USA300HOU_0860,901013,901261,+,DUF1474 family protein,Function unknown,A0A0H2XIP3,Op566,Genomic Island 3,Phi-Sa3-1,USA300HOU_RS04465
2,0.0951341933192155,USA300HOU_RS15895,NC_010079.1,USA300HOU_1484,1601416,1601592,-,hypothetical protein,No COG annotation,UPI00003B1A91,Op966,,Phi-Sa3-1,USA300HOU_RS15895
3,0.1191405747205558,USA300HOU_RS10690,NC_010079.1,USA300HOU_1974,2110986,2111402,-,hypothetical protein,Function unknown,A0A0E0VRR2,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10690
4,0.1436304186573065,USA300HOU_RS10695,NC_010079.1,USA300HOU_1975,2111430,2111630,-,DUF1514 family protein,Function unknown,A0A0E0VQM2,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10695
5,0.1183994407403426,USA300HOU_RS10700,NC_010079.1,USA300HOU_1976,2111630,2111779,-,transcriptional activator RinB,Function unknown,A0A0E0VSB0,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10700
6,0.1222469797488333,USA300HOU_RS10705,NC_010079.1,USA300HOU_1977,2111776,2112162,-,hypothetical protein,No COG annotation,A0A0E1VR50,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10705
7,0.1396728122426131,USA300HOU_RS10710,NC_010079.1,USA300HOU_1978,2112159,2112365,-,DUF1381 domain-containing protein,Function unknown,A0A0E0VQF2,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10710
8,0.1137625170190929,USA300HOU_RS10715,NC_010079.1,USA300HOU_1979,2112362,2112607,-,hypothetical protein,No COG annotation,A0A0D1K2H3,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10715
9,0.1101960311151208,USA300HOU_RS10720,NC_010079.1,USA300HOU_1980,2112644,2113177,-,dUTP pyrophosphatase,Function unknown,A0A0E1XBJ5,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10720
10,0.095660810904806,USA300HOU_RS10725,NC_010079.1,USA300HOU_1981,2113170,2113412,-,hypothetical protein,No COG annotation,A0A0E1X987,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10725
11,0.1049743507776686,USA300HOU_RS10730,NC_010079.1,USA300HOU_1982,2113402,2113638,-,DUF1024 family protein,Function unknown,A0A0H2XE94,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10730
12,0.1125346739907755,USA300HOU_RS10735,NC_010079.1,USA300HOU_1983,2113631,2114002,-,hypothetical protein,No COG annotation,A0A0H2XHF7,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10735
13,0.1281393426938134,USA300HOU_RS10740,NC_010079.1,USA300HOU_1984,2114011,2114253,-,hypothetical protein,Function unknown,A0A0H2XF19,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10740
14,0.1189456721809882,USA300HOU_RS10745,NC_010079.1,USA300HOU_1985,2114257,2114625,-,hypothetical protein,Function unknown,A0A0H3JSB3,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10745
15,0.1397312904232037,USA300HOU_RS10750,NC_010079.1,USA300HOU_1986,2114638,2115042,-,RusA family crossover junction endodeoxyribonuclease,Function unknown,A0A0H2XJT8,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10750
16,0.1479160395083264,USA300HOU_RS10755,NC_010079.1,USA300HOU_1987,2115051,2115269,-,hypothetical protein,No COG annotation,A0A0E1VYT6,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10755
17,0.1579010106750211,USA300HOU_RS10760,NC_010079.1,USA300HOU_1988,2115276,2116169,-,DnaD domain-containing protein,"Replication, recombination and repair",A0A0E8IKP8,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10760
18,0.1563455679762702,ssb,NC_010079.1,USA300HOU_1989,2116199,2116669,-,single-stranded DNA-binding protein,"Replication, recombination and repair",A0A0H2XJY5,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10765
19,0.1720747648722266,USA300HOU_RS10770,NC_010079.1,USA300HOU_1990,2116670,2117287,-,MBL fold metallo-hydrolase,No COG annotation,A0A5A8VJJ7,Op1287,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10770
20,0.1626101723166529,USA300HOU_RS10775,NC_010079.1,USA300HOU_1991,2117368,2118288,-,recombinase,Function unknown,A0A0E1VRA1,Op1288,"VraR,Genomic Island 9",Phi-Sa3-1,USA300HOU_RS10775
21,0.172469519244673,USA300HOU_RS10780,NC_010079.1,USA300HOU_1992,2118290,2120233,-,AAA family ATPase,No COG annotation,A0A1S5ZVE7,Op1288,"VraR,Genomic Island 9",Phi-Sa3-1,USA300HOU_RS10780
22,0.1892583391712168,USA300HOU_RS15460,NC_010079.1,USA300HOU_1993,2120242,2120505,-,hypothetical protein,No COG annotation,A0A068A8K9,Op1288,,Phi-Sa3-1,USA300HOU_RS15460
23,0.1808466774916643,USA300HOU_RS10785,NC_010079.1,USA300HOU_1994,2120514,2120774,-,DUF1108 family protein,Function unknown,A0A0H2XGG0,Op1288,"VraR,Genomic Island 9",Phi-Sa3-1,USA300HOU_RS10785
24,0.1778498737350941,USA300HOU_RS10790,NC_010079.1,USA300HOU_1995,2120814,2121074,-,DUF2482 family protein,No COG annotation,A0A0H2XK94,Op1288,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10790
25,0.1587903445704533,USA300HOU_RS10795,NC_010079.1,USA300HOU_1996,2121169,2121330,-,DUF1270 domain-containing protein,Function unknown,A0A1S5ZVX3,Op1289,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10795
26,0.2037689406265983,USA300HOU_RS10800,NC_010079.1,USA300HOU_1997,2121327,2121647,-,DUF771 domain-containing protein,Function unknown,A0A0H2XJ00,Op1289,"VraR,Genomic Island 9",Phi-Sa3-1,USA300HOU_RS10800
27,0.152506645318848,USA300HOU_RS15910,NC_010079.1,USA300HOU_1999,2121933,2122109,-,hypothetical protein,No COG annotation,UPI00003B1A91,Op1291,,Phi-Sa3-1,USA300HOU_RS15910
28,0.176545646875176,USA300HOU_RS10810,NC_010079.1,USA300HOU_2000,2122125,2122877,-,oxidoreductase,Function unknown,A0A0H2XFK3,Op1292,"VraR,Genomic Island 9",Phi-Sa3-1,USA300HOU_RS10810
29,0.1449678503180646,USA300HOU_RS10820,NC_010079.1,USA300HOU_2002,2123246,2123461,-,DUF2829 domain-containing protein,Function unknown,A0A062WB74,Op1294,Genomic Island 9,Phi-Sa3-1,USA300HOU_RS10820
30,0.1611560404685029,USA300HOU_RS10825,NC_010079.1,USA300HOU_2003,2123477,2123740,-,helix-turn-helix transcriptional regulator,Transcription,A0A0E0VQH2,Op1294,"VraR,Genomic Island 9",Phi-Sa3-1,USA300HOU_RS10825
0,-0.1316100225951365,deoD,NC_010079.1,USA300HOU_0148,156971,157678,+,purine-nucleoside phosphorylase,Nucleotide transport and metabolism,A0A0H2WZZ1,Op103,,Purine,USA300HOU_RS00720
1,0.2966576209886968,xpt,NC_010079.1,USA300HOU_0411,436367,436945,+,xanthine phosphoribosyltransferase,Nucleotide transport and metabolism,A0A0D1J8C4,Op262,Purine,Purine,USA300HOU_RS02055
2,0.2938918869266231,USA300HOU_RS02060,NC_010079.1,USA300HOU_0412,436945,438213,+,purine permease,Nucleotide transport and metabolism,A0A0D6GAI6,Op262,Purine,Purine,USA300HOU_RS02060
3,0.1290384574053223,guaB,NC_010079.1,USA300HOU_0413,438251,439717,+,IMP dehydrogenase,Nucleotide transport and metabolism,A0A0E0VMV7,Op262,Purine,Purine,USA300HOU_RS02065
4,0.1230731130708766,guaA,NC_010079.1,USA300HOU_0414,439742,441283,+,glutamine-hydrolyzing GMP synthase,Nucleotide transport and metabolism,A0A0D6GB61,Op262,Purine,Purine,USA300HOU_RS02070
5,0.130187466846503,USA300HOU_RS06585,NC_010079.1,USA300HOU_1239,1336338,1336706,+,MerR family transcriptional regulator,Transcription,A0A0E0VPF9,Op820,"GlnR,CodY",Purine,USA300HOU_RS06585
6,0.1287664649537684,glnA,NC_010079.1,USA300HOU_1240,1336725,1338065,+,type I glutamate--ammonia ligase,Amino acid transport and metabolism,A0A077VWZ5,Op820,"GlnR,CodY",Purine,USA300HOU_RS06590
7,0.1300003583205388,USA300HOU_RS06595,NC_010079.1,USA300HOU_1241,1338558,1338755,+,hypothetical protein,No COG annotation,A0A0G2LRQ8,Op821,,Purine,USA300HOU_RS06595
0,0.1287999391646483,USA300HOU_RS03580,NC_010079.1,USA300HOU_0683,735519,737408,+,FtsX-like permease family protein,Defense mechanisms,A0A0D3Q5A1,Op449,,LTA,USA300HOU_RS03580
1,0.1895836611042806,USA300HOU_RS04610,NC_010079.1,USA300HOU_0891,928034,928144,+,hypothetical protein,No COG annotation,A0A0D1JIZ9,Op587,GraS,LTA,USA300HOU_RS04610
2,0.1801017276889756,USA300HOU_RS04615,NC_010079.1,USA300HOU_0892,928192,928344,+,teichoic acid D-Ala incorporation-associated protein DltX,Function unknown,A0A0E0VN94,Op588,,LTA,USA300HOU_RS04615
3,0.1420054697606673,dltA,NC_010079.1,USA300HOU_0893,928360,929817,+,D-alanine--poly(phosphoribitol) ligase subunit DltA,"Secondary metabolites biosynthesis, transport, and catabolism",A6QFE3,Op588,,LTA,USA300HOU_RS04620
4,0.1350206667461441,dltB,NC_010079.1,USA300HOU_0894,929814,931028,+,PG:teichoic acid D-alanyltransferase DltB,Cell wall/membrane/envelope biogenesis,A0A0E0VNS4,Op588,,LTA,USA300HOU_RS04625
5,0.1660665437687777,dltC,NC_010079.1,USA300HOU_0895,931046,931282,+,D-alanine--poly(phosphoribitol) ligase subunit 2,Lipid transport and metabolism,A0A0D1IZ12,Op588,,LTA,USA300HOU_RS04630
6,0.1388909213546581,dltD,NC_010079.1,USA300HOU_0896,931279,932454,+,D-alanyl-lipoteichoic acid biosynthesis protein DltD,Cell wall/membrane/envelope biogenesis,A0A0E8G8K9,Op588,,LTA,USA300HOU_RS04635
0,0.1100881588841748,USA300HOU_RS00175,NC_010079.1,,42442,44049,-,IS1182 family transposase,"Replication, recombination and repair",,Op22,,Uncharacterized-9,USA300HOU_RS00175
1,0.1610374009034038,USA300HOU_RS00670,NC_010079.1,USA300HOU_0139,147986,148108,+,hypothetical protein,No COG annotation,A0A0E1VP33,Op97,,Uncharacterized-9,USA300HOU_RS00670
2,0.081929306753603,USA300HOU_RS00995,NC_010079.1,USA300HOU_0202,221148,221249,+,hypothetical protein,No COG annotation,A0A0H2WXH0,Op131,,Uncharacterized-9,USA300HOU_RS00995
3,0.0839235468057108,USA300HOU_RS01055,NC_010079.1,USA300HOU_0213,236516,237994,+,ABC transporter permease,Amino acid transport and metabolism,A0A0H2XEQ5,Op138,,Uncharacterized-9,USA300HOU_RS01055
4,0.0732870234973165,USA300HOU_RS01060,NC_010079.1,USA300HOU_0214,238000,239163,+,ABC transporter permease,Amino acid transport and metabolism,A0A0D3Q3Y6,Op138,,Uncharacterized-9,USA300HOU_RS01060
5,0.1046643737015318,USA300HOU_RS01065,NC_010079.1,USA300HOU_0215,239180,240955,+,peptide ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A0D6GGQ7,Op138,,Uncharacterized-9,USA300HOU_RS01065
6,0.0870972696706933,ggt,NC_010079.1,USA300HOU_0216,240993,242999,+,gamma-glutamyltransferase,Amino acid transport and metabolism,A0A0E8H648,Op138,,Uncharacterized-9,USA300HOU_RS01070
7,0.1050880626286529,USA300HOU_RS01910,NC_010079.1,USA300HOU_0381,414922,415767,+,ParB/RepB/Spo0J family partition protein,Transcription,A0A0D3Q4U5,Op238,CodY,Uncharacterized-9,USA300HOU_RS01910
8,0.117819293033643,USA300HOU_RS03000,NC_010079.1,USA300HOU_0566,630727,631374,+,HAD family hydrolase,Function unknown,A0A0E7MZM8,Op376,,Uncharacterized-9,USA300HOU_RS03000
9,0.1341954526825199,USA300HOU_RS03010,NC_010079.1,USA300HOU_0568,633820,635196,+,long-chain fatty acid--CoA ligase,Lipid transport and metabolism,A0A0H2XIA4,Op378,BirA,Uncharacterized-9,USA300HOU_RS03010
10,0.1181541896622152,USA300HOU_RS03015,NC_010079.1,USA300HOU_0569,635198,636337,+,thiolase family protein,Lipid transport and metabolism,A0A0H2XIB7,Op378,BirA,Uncharacterized-9,USA300HOU_RS03015
11,0.1798401738589961,USA300HOU_RS03020,NC_010079.1,USA300HOU_0570,636312,636677,+,protein VraC,No COG annotation,A0A0E1VLN2,Op379,BirA,Uncharacterized-9,USA300HOU_RS03020
12,0.1856514130180862,USA300HOU_RS03025,NC_010079.1,USA300HOU_0571,636680,636949,+,hypothetical protein,No COG annotation,A0A0E1VJI6,Op379,"BirA,VraS2",Uncharacterized-9,USA300HOU_RS03025
13,0.097656397318419,USA300HOU_RS03490,NC_010079.1,USA300HOU_0666,720645,720737,+,hypothetical protein,No COG annotation,A0A0D1IF32,Op438,,Uncharacterized-9,USA300HOU_RS03490
14,0.0703942287679354,USA300HOU_RS04465,NC_010079.1,USA300HOU_0860,901013,901261,+,DUF1474 family protein,Function unknown,A0A0H2XIP3,Op566,Genomic Island 3,Uncharacterized-9,USA300HOU_RS04465
15,0.1154533458008583,USA300HOU_RS04840,NC_010079.1,USA300HOU_0934,979389,980258,-,LysR family transcriptional regulator,Transcription,A0A0D3Q5R9,Op617,,Uncharacterized-9,USA300HOU_RS04840
16,0.0777692403489879,USA300HOU_RS06620,NC_010079.1,USA300HOU_1246,1342104,1342208,+,hypothetical protein,No COG annotation,A0A080VAY5,Op826,Genomic Island 4,Uncharacterized-9,USA300HOU_RS06620
17,0.0874689642277568,USA300HOU_RS06950,NC_010079.1,USA300HOU_1300,1401575,1402666,-,prephenate dehydrogenase,Amino acid transport and metabolism,A0A0H3K7Z2,Op875,CodY,Uncharacterized-9,USA300HOU_RS06950
18,0.0830321445576489,USA300HOU_RS07795,NC_010079.1,,1588827,1588925,+,hypothetical protein,No COG annotation,A0A5C8X2T8,Op959,Genomic Island 6,Uncharacterized-9,USA300HOU_RS07795
19,0.0825879869094916,USA300HOU_RS07950,NC_010079.1,,1603797,1603943,+,hypothetical protein,No COG annotation,A0A5A8UEG9,Op969,Genomic Island 7,Uncharacterized-9,USA300HOU_RS07950
20,0.1231635532935981,USA300HOU_RS08475,NC_010079.1,USA300HOU_1591,1701579,1702265,-,ComEA family DNA-binding protein,"Replication, recombination and repair",A0A0H2WZ91,Op1029,,Uncharacterized-9,USA300HOU_RS08475
21,0.0914102932061384,USA300HOU_RS08825,NC_010079.1,USA300HOU_1658,1767986,1768087,-,hypothetical protein,No COG annotation,A0A0E1VIZ4,Op1058,,Uncharacterized-9,USA300HOU_RS08825
22,0.1154624695462211,USA300HOU_RS09105,NC_010079.1,USA300HOU_1704,1829211,1829351,+,hypothetical protein,No COG annotation,A0A0H2WZZ3,Op1095,,Uncharacterized-9,USA300HOU_RS09105
23,0.1035301045860756,USA300HOU_RS09940,NC_010079.1,USA300HOU_1855,1994386,1995747,+,ISL3 family transposase,"Replication, recombination and repair",A0A1S6D7P4,Op1208,,Uncharacterized-9,USA300HOU_RS09940
24,0.148174485142889,USA300HOU_RS15795,NC_010079.1,,1995723,1995836,+,hypothetical protein,No COG annotation,A0A2K0I5V0,Op1209,,Uncharacterized-9,USA300HOU_RS15795
25,0.0960069894832728,USA300HOU_RS10280,NC_010079.1,USA300HOU_1892,2035582,2035674,-,hypothetical protein,No COG annotation,A0A0D1FQD1,Op1234,WalR,Uncharacterized-9,USA300HOU_RS10280
26,0.0703218057961749,USA300HOU_RS10555,NC_010079.1,USA300HOU_1947,2087534,2087983,+,chemotaxis-inhibiting protein CHIPS,No COG annotation,A0A068A6G0,Op1273,"WalR,Genomic Island 9",Uncharacterized-9,USA300HOU_RS10555
27,0.1168539315781572,USA300HOU_RS15475,NC_010079.1,,2139833,2140376,+,site-specific integrase,"Replication, recombination and repair",,Op1308,,Uncharacterized-9,USA300HOU_RS15475
28,0.0761998907369138,deoD,NC_010079.1,USA300HOU_2127,2255637,2256347,+,purine-nucleoside phosphorylase,Nucleotide transport and metabolism,A0A0E0VRS6,Op1374,,Uncharacterized-9,USA300HOU_RS11545
29,0.1320995791364137,USA300HOU_RS15815,NC_010079.1,,2265902,2266385,-,recombinase family protein,No COG annotation,,Op1383,,Uncharacterized-9,USA300HOU_RS15815
30,0.1144052790926451,USA300HOU_RS11675,NC_010079.1,USA300HOU_2155,2290812,2292014,+,ISL3 family transposase,"Replication, recombination and repair",A0A2I7Y9N1,Op1393,Genomic Island 10,Uncharacterized-9,USA300HOU_RS11675
31,0.0802340160082896,USA300HOU_RS12765,NC_010079.1,,2478574,2479076,+,transposase,Function unknown,,Op1523,,Uncharacterized-9,USA300HOU_RS12765
32,0.0828267386526351,USA300HOU_RS13445,NC_010079.1,,2608655,2608840,+,hypothetical protein,No COG annotation,A0A266CTA2,Op1615,,Uncharacterized-9,USA300HOU_RS13445
33,0.0680893908232709,USA300HOU_RS14590,NC_010079.1,USA300HOU_2690,2847840,2848811,-,SMP-30/gluconolactonase/LRE family protein,Carbohydrate transport and metabolism,A0A0H3KAY0,Op1777,"CcpA,VraR,VraS2",Uncharacterized-9,USA300HOU_RS14590
0,0.2643929928790754,USA300HOU_RS05355,NC_010079.1,USA300HOU_1019,1084893,1085699,-,energy-coupling factor transporter transmembrane protein EcfT,Inorganic ion transport and metabolism,A0A0H2WZI1,Op677,TPP,TPP,USA300HOU_RS05355
1,0.273338442333658,USA300HOU_RS05360,NC_010079.1,USA300HOU_1020,1085692,1087092,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0D6HTM5,Op677,TPP,TPP,USA300HOU_RS05360
2,0.2707563511153228,USA300HOU_RS05365,NC_010079.1,USA300HOU_1021,1087107,1087682,-,ECF transporter S component,Function unknown,A0A0E0VP63,Op677,TPP,TPP,USA300HOU_RS05365
3,0.2090253590887573,USA300HOU_RS11295,NC_010079.1,,2212778,2213419,-,thiamine phosphate synthase,Coenzyme transport and metabolism,A5IUN7,Op1349,TPP,TPP,USA300HOU_RS11295
