,gene_weight,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator,reactionID
USA300HOU_RS05135,0.1170131079089724,USA300HOU_RS05135,NC_010079.1,,1039698,1040339,+,ABC transporter ATP-binding protein,Defense mechanisms,A0A0D6GHV4,Op651,,
USA300HOU_RS06315,-0.0468092003172624,codY,NC_010079.1,USA300HOU_1186,1273598,1274371,+,GTP-sensing pleiotropic transcriptional regulator CodY,Transcription,A0A0E0VND6,Op790,,
USA300HOU_RS06745,0.0726181716874873,USA300HOU_RS06745,NC_010079.1,USA300HOU_1271,1355764,1357146,-,aspartate kinase,Amino acid transport and metabolism,A0A0E1X5W8,Op841,CodY,ASPK
USA300HOU_RS06750,0.06803833607507,USA300HOU_RS06750,NC_010079.1,USA300HOU_1273,1357337,1358617,+,homoserine dehydrogenase,Amino acid transport and metabolism,A0A0E1VS23,Op842,CodY,"HSDy,HSDx"
USA300HOU_RS06755,0.0519386398359227,USA300HOU_RS06755,NC_010079.1,USA300HOU_1274,1358623,1359684,+,threonine synthase,Amino acid transport and metabolism,A0A0E1VI24,Op842,CodY,"4HTHRS,THRS"
USA300HOU_RS06760,0.0480382214186911,USA300HOU_RS06760,NC_010079.1,USA300HOU_1275,1359686,1360600,+,homoserine kinase,Nucleotide transport and metabolism,A0A0D6HNF2,Op842,CodY,HSK
USA300HOU_RS06960,0.0672047825898577,USA300HOU_RS06960,NC_010079.1,USA300HOU_1302,1404354,1405760,+,anthranilate synthase component I,Amino acid transport and metabolism,A0A0H2XI84,Op877,"CodY,T-box(Trp)","ATNS_nh4,ANS"
USA300HOU_RS06965,0.08296493452208,USA300HOU_RS06965,NC_010079.1,USA300HOU_1303,1405757,1406323,+,aminodeoxychorismate/anthranilate synthase component II,Amino acid transport and metabolism,A0A0E1VJR0,Op877,"CodY,T-box(Trp)","ANS,ATNS_nh4,ADCS"
USA300HOU_RS06970,0.0653958799105376,trpD,NC_010079.1,USA300HOU_1304,1406329,1407327,+,anthranilate phosphoribosyltransferase,Nucleotide transport and metabolism,A0A0D6HMR0,Op877,"CodY,T-box(Trp)",ANPRT
USA300HOU_RS06975,0.0981114368326158,trpC,NC_010079.1,USA300HOU_1305,1407329,1408111,+,indole-3-glycerol phosphate synthase TrpC,Amino acid transport and metabolism,A0A0D6HNM9,Op877,"CodY,T-box(Trp)",IGPS
USA300HOU_RS06980,0.0834035947130886,USA300HOU_RS06980,NC_010079.1,USA300HOU_1306,1408111,1408743,+,phosphoribosylanthranilate isomerase,Amino acid transport and metabolism,A0A4T9WV27,Op877,"CodY,T-box(Trp)",PRAI
USA300HOU_RS06985,0.0731242580687005,trpB,NC_010079.1,USA300HOU_1307,1408736,1409950,+,tryptophan synthase subunit beta,Amino acid transport and metabolism,A0A0D3Q757,Op877,"CodY,T-box(Trp)","TRPS3r,TRPS2"
USA300HOU_RS07095,0.0774999823071762,USA300HOU_RS07095,NC_010079.1,USA300HOU_1328,1430751,1431956,+,aspartate kinase,Amino acid transport and metabolism,A0A0E8GBM7,Op890,Lysine,ASPK
USA300HOU_RS07100,0.0753444023206348,USA300HOU_RS07100,NC_010079.1,USA300HOU_1329,1432020,1433009,+,aspartate-semialdehyde dehydrogenase,Amino acid transport and metabolism,A0A0H2WZS6,Op890,"CodY,Lysine",ASAD
USA300HOU_RS07105,0.0676820709609642,USA300HOU_RS07105,NC_010079.1,USA300HOU_1330,1433011,1433898,+,4-hydroxy-tetrahydrodipicolinate synthase,Amino acid transport and metabolism,A0A0D6HM04,Op890,"CodY,Lysine",DHDPS
USA300HOU_RS07110,0.0675335061739547,USA300HOU_RS07110,NC_010079.1,USA300HOU_1331,1433895,1434617,+,4-hydroxy-tetrahydrodipicolinate reductase,Amino acid transport and metabolism,A0A0D6HM01,Op890,"CodY,Lysine",DHDPRy
USA300HOU_RS07115,0.066335035082495,dapD,NC_010079.1,USA300HOU_1332,1434644,1435363,+,2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-acetyltransferase,Amino acid transport and metabolism,A0A0E0VNT3,Op890,"CodY,Lysine","APAT,THDPS"
USA300HOU_RS07120,0.0565252541869629,USA300HOU_RS07120,NC_010079.1,USA300HOU_1333,1435506,1436657,+,amidohydrolase,Amino acid transport and metabolism,A0A0D6HN09,Op891,"CodY,Lysine",DAPDA
USA300HOU_RS07125,0.0509965921479665,USA300HOU_RS07125,NC_010079.1,USA300HOU_1334,1436662,1437747,+,alanine racemase,Amino acid transport and metabolism,A0A0D6HLY8,Op891,"CodY,Lysine",DAPE
USA300HOU_RS09140,0.0961153359404458,USA300HOU_RS09140,NC_010079.1,USA300HOU_1711,1834165,1835325,+,alanine--glyoxylate aminotransferase family protein,Amino acid transport and metabolism,A0A0D6HFD0,Op1101,CodY,"NALN6,PSERT"
USA300HOU_RS09145,0.0892668533946954,USA300HOU_RS09145,NC_010079.1,USA300HOU_1712,1835312,1836916,+,phosphoglycerate dehydrogenase,Amino acid transport and metabolism,A0A0E7X8W5,Op1101,CodY,PGCDr
USA300HOU_RS11000,0.0779409777079596,USA300HOU_RS11000,NC_010079.1,USA300HOU_2040,2154426,2155676,-,ammonium transporter,Inorganic ion transport and metabolism,A0A0H2XH63,Op1321,"GlnR,CodY",NH4t4
USA300HOU_RS11060,0.0500054839288383,ilvD,NC_010079.1,USA300HOU_2048,2165510,2167198,+,dihydroxy-acid dehydratase,Amino acid transport and metabolism,A0A0E8IPA5,Op1330,CodY,"DHAD3,DHAD1"
USA300HOU_RS11065,0.0437034610396252,ilvB,NC_010079.1,USA300HOU_2049,2167226,2168995,+,biosynthetic-type acetolactate synthase large subunit,Coenzyme transport and metabolism,A0A0D3Q9E2,Op1330,CodY,"ACLS_b,ACHBS"
USA300HOU_RS11075,0.0440052798916371,ilvC,NC_010079.1,USA300HOU_2051,2169386,2170390,+,ketol-acid reductoisomerase,Coenzyme transport and metabolism,A0A0D6HB99,Op1330,CodY,"KARA4,2ACLMM,DPR,KARA2i"
USA300HOU_RS11095,0.0443770962803268,leuD,NC_010079.1,USA300HOU_2055,2174383,2174955,+,3-isopropylmalate dehydratase small subunit,Amino acid transport and metabolism,A0A0D3Q988,Op1330,CodY,"IPPMIb,IPPMIa"
USA300HOU_RS11100,0.0512286662729008,ilvA,NC_010079.1,USA300HOU_2056,2174970,2176238,+,threonine ammonia-lyase IlvA,Amino acid transport and metabolism,A0A0D3Q9V1,Op1330,CodY,THRD_L
USA300HOU_RS11620,0.0551094631809106,USA300HOU_RS11620,NC_010079.1,USA300HOU_2144,2269575,2270357,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0E8J4E5,Op1387,,
USA300HOU_RS12565,0.0845074776610448,USA300HOU_RS12565,NC_010079.1,USA300HOU_2301,2438324,2439241,-,bile acid:sodium symporter family protein,Function unknown,A0A0D3QA09,Op1492,CodY,
USA300HOU_RS13800,0.0734850555969293,USA300HOU_RS13800,NC_010079.1,,2680213,2680317,-,hypothetical protein,No COG annotation,A0A266CLB7,Op1668,,
USA300HOU_RS15925,0.1094585264594396,USA300HOU_RS15925,NC_010079.1,USA300HOU_2537,2680480,2680614,-,hypothetical protein,No COG annotation,A0A0H2X3E9,Op1669,,
USA300HOU_RS13810,0.1138979776117118,USA300HOU_RS13810,NC_010079.1,USA300HOU_2538,2680708,2680965,-,hypothetical protein,No COG annotation,A0A0H2DL58,Op1670,,
USA300HOU_RS13890,0.0492960146679964,USA300HOU_RS13890,NC_010079.1,USA300HOU_2554,2699683,2700681,-,D-lactate dehydrogenase,Energy production and conversion,A0A0H2WZG0,Op1684,CodY,
USA300HOU_RS13895,0.0461706485215667,USA300HOU_RS13895,NC_010079.1,USA300HOU_2555,2700704,2701858,-,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,Amino acid transport and metabolism,A0A0D6GSW5,Op1684,CodY,
USA300HOU_RS13945,0.182387858584696,USA300HOU_RS13945,NC_010079.1,USA300HOU_2565,2713510,2714565,-,PTS transporter subunit IIC,Function unknown,A0A0D1JW10,Op1690,CodY,
USA300HOU_RS15590,0.0613388593974741,USA300HOU_RS15590,NC_010079.1,,2714692,2714820,-,hypothetical protein,No COG annotation,A0A5A8VQZ9,Op1691,,
USA300HOU_RS14110,0.1088960749621082,USA300HOU_RS14110,NC_010079.1,USA300HOU_2595,2739510,2740958,+,amino acid permease,Amino acid transport and metabolism,A0A0D6WF60,Op1713,CodY,"VALt2r,LEUt2r"
USA300HOU_RS14115,0.1215292632481596,USA300HOU_RS14115,NC_010079.1,USA300HOU_2596,2741039,2742376,-,aspartate aminotransferase family protein,Amino acid transport and metabolism,A0A0H2X0R6,Op1714,CodY,"3A2OA,ABTA"
USA300HOU_RS14120,0.0660207360160962,USA300HOU_RS14120,NC_010079.1,USA300HOU_2598,2742634,2743050,+,hypothetical protein,No COG annotation,A0A0D6WFJ6,Op1715,"CodY,WalR",
USA300HOU_RS14230,0.0636428173875933,USA300HOU_RS14230,NC_010079.1,USA300HOU_2619,2764434,2764931,-,glutathione peroxidase,Energy production and conversion,A0A0E1VMM7,Op1736,,GTHPi
USA300HOU_RS14235,0.0707484886414301,USA300HOU_RS14235,NC_010079.1,,2764941,2765201,-,hypothetical protein,No COG annotation,A0A133Q136,Op1736,,
USA300HOU_RS14510,0.0564253216335644,USA300HOU_RS14510,NC_010079.1,USA300HOU_2673,2833754,2834386,-,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,Amino acid transport and metabolism,A0A0D6GQ30,Op1771,"HisR,CodY","PRATPP,PRAMPC"
USA300HOU_RS14515,0.0607112320701774,hisF,NC_010079.1,USA300HOU_2674,2834383,2835141,-,imidazole glycerol phosphate synthase subunit HisF,Amino acid transport and metabolism,A0A0D3QB09,Op1771,"HisR,CodY",IG3PS
USA300HOU_RS14520,0.0685929375547135,USA300HOU_RS14520,NC_010079.1,USA300HOU_2675,2835138,2835842,-,1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,Amino acid transport and metabolism,A0A0D3QBI7,Op1771,"HisR,CodY",PRMICIi
USA300HOU_RS14525,0.078205222512472,hisH,NC_010079.1,USA300HOU_2676,2835835,2836413,-,imidazole glycerol phosphate synthase subunit HisH,Amino acid transport and metabolism,A0A0D6HTY1,Op1771,"HisR,CodY","IG3PS,HSTPTr"
USA300HOU_RS14530,0.0728587233694211,hisB,NC_010079.1,USA300HOU_2677,2836410,2836988,-,imidazoleglycerol-phosphate dehydratase HisB,Amino acid transport and metabolism,A0A0E1VP94,Op1771,"HisR,CodY",IGPDH
USA300HOU_RS14535,0.0649712610416825,USA300HOU_RS14535,NC_010079.1,USA300HOU_2678,2836957,2837970,-,histidinol-phosphate aminotransferase family protein,Amino acid transport and metabolism,A0A0D6GN51,Op1771,"HisR,CodY","PHETA1,HSTPTr,TYRTA"
USA300HOU_RS14540,0.081735936151684,USA300HOU_RS14540,NC_010079.1,USA300HOU_2679,2837986,2839236,-,histidinol dehydrogenase,Amino acid transport and metabolism,A0A0D3QB14,Op1771,"HisR,CodY","LHISO,LHIST"
USA300HOU_RS14545,0.1099973177120174,USA300HOU_RS14545,NC_010079.1,USA300HOU_2680,2839229,2839843,-,ATP phosphoribosyltransferase,Nucleotide transport and metabolism,A0A1S6AMM1,Op1771,"HisR,CodY",ATPPRT
USA300HOU_RS14550,0.0900198235117424,USA300HOU_RS14550,NC_010079.1,USA300HOU_2681,2839861,2840679,-,ATP phosphoribosyltransferase regulatory subunit,Amino acid transport and metabolism,A0A2C9TMU0,Op1771,"HisR,CodY",ATPPRT
USA300HOU_RS14555,0.1091416191641139,USA300HOU_RS14555,NC_010079.1,USA300HOU_2683,2840984,2842108,-,polysaccharide deacetylase family protein,Carbohydrate transport and metabolism,A0A0H2WXB4,Op1772,,
USA300HOU_RS14560,0.119617462319487,USA300HOU_RS14560,NC_010079.1,USA300HOU_2684,2842226,2842723,-,GNAT family N-acetyltransferase,"Translation, ribosomal structure and biogenesis",A0A0H2WX93,Op1773,,
USA300HOU_RS14565,0.1191620796214964,USA300HOU_RS14565,NC_010079.1,USA300HOU_2685,2842770,2843603,-,energy-coupling factor transporter transmembrane protein EcfT,Inorganic ion transport and metabolism,A0A0H2WXX1,Op1774,,"HMPPtr,THMabc"
USA300HOU_RS14570,0.1151784298636879,USA300HOU_RS14570,NC_010079.1,USA300HOU_2686,2843600,2845312,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0E8I7J5,Op1774,,"HMPPtr,THMabc"
USA300HOU_RS14575,0.1398170926501505,USA300HOU_RS14575,NC_010079.1,USA300HOU_2687,2845365,2845919,-,ECF-type riboflavin transporter substrate-binding protein,Function unknown,A0A2C6MV98,Op1775,,
USA300HOU_RS14580,0.1401804765347281,USA300HOU_RS14580,NC_010079.1,USA300HOU_2688,2845948,2846796,-,S-adenosyl-l-methionine hydroxide adenosyltransferase family protein,Transcription,A0A0D3QB57,Op1775,,
